time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau1,tau2,tau3,tau4,tau5,tau6,x,y,z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4095,3.64332422746338e-18,0.57002
0.01,-2.28336659719848e-24,1.09888664648636e-09,5.11223347265556e-08,-1.52069733819895e-22,1.89657742398792e-06,4.11566815033088e-24,-6.83291441053715e-22,3.28838935085412e-07,1.52982240382236e-05,-4.55064673758205e-20,0.000567545799564833,1.23160285553306e-21,-1.35971563144357e-19,6.54372956250368e-05,0.00304426970810881,-9.05555833207281e-18,0.112938762124459,2.45082779292007e-19,0,0,0,0,0,0,0.409500000274608,3.64333119191981e-18,0.570019870991175
0.02,-1.81297257994999e-23,8.72506132391232e-09,4.05906748377533e-07,-1.20742003493449e-21,1.50586544870237e-05,3.26780356421006e-23,-2.70576577915404e-21,1.3021692998751e-06,6.05794374075924e-05,-1.80201060276424e-19,0.00224742461312994,4.87702415073541e-21,-2.67843481168784e-19,0.000128901607462384,0.00599675238984248,-1.78380847546359e-17,0.222472335441146,4.82776128052596e-19,0,0,0,0,0,0,0.409500002174121,3.6433795236766e-18,0.570018975681513
0.03,-6.07266144973201e-23,2.9225121292089e-08,1.35960923530697e-06,-4.04432652808406e-21,5.04398751528304e-05,1.09457059357305e-22,-6.02663361588552e-21,2.90036090213802e-06,0.000134930405552758,-4.01367249097092e-19,0.00500575653185032,1.08627427838551e-20,-3.95657164630048e-19,0.00019041286464121,0.00885837518688157,-2.63503371657651e-17,0.328635115796603,7.13154686994207e-19,0,0,0,0,0,0,0.409500007226124,3.6435094369639e-18,0.570016568983196
0.04,-1.42855746124758e-22,6.87503583449755e-08,3.19839980139945e-06,-9.51403743686549e-21,0.000118656804089008,2.57491217196042e-22,-1.06055196584003e-20,5.1039828409348e-06,0.000237447165335177,-7.06316083213866e-19,0.00880900560534639,1.91159840602644e-20,-5.19454024084915e-19,0.000249990996290684,0.0116300652409066,-3.45950734635363e-17,0.431461499037374,9.36293096829277e-19,0,0,0,0,0,0,0.409500016744008,3.64375988317076e-18,0.5700119287372
0.05,-2.76897151715275e-22,1.33258751723595e-07,6.19945517823815e-06,-1.84410493735399e-20,0.000229992366251689,4.99094972147757e-22,-1.64024627194184e-20,7.89380350661776e-06,0.000367235025033113,-1.09238619098354e-18,0.013623979841704,2.95647196924603e-20,-6.39275470090152e-19,0.000307655931539974,0.0143127496935982,-4.25750515460253e-17,0.530985881010002,1.15226599827025e-18,0,0,0,0,0,0,0.409500031648151,3.64416853631895e-18,0.570004355479375
0.06,-4.74833320957365e-22,2.28516961028954e-07,1.06310515372729e-05,-3.162338312884e-20,0.00039439928647019,8.55866236362481e-22,-2.33779157172272e-20,1.12507905808309e-05,0.000523408564341632,-1.55694377974368e-18,0.0194178312074744,4.21376678000638e-20,-7.55162913202527e-19,0.000363427599518249,0.0169073556866369,-5.0293029311308e-17,0.627242657561029,1.36114803202955e-18,0,0,0,0,0,0,0.409500052228516,3.6447717696576e-18,0.569993172206658
0.07,-7.48253343250242e-22,3.60102319134956e-07,1.67526572039882e-05,-4.98328594617783e-20,0.000621503529031669,1.34869383522209e-21,-3.1492745675682e-20,1.51561110365099e-05,0.00070509163437261,-2.0973826358126e-18,0.0261580556276744,5.67642929098205e-20,-8.67157763978807e-19,0.000417325929354677,0.0194148103617032,-5.77517646574603e-17,0.720266224537,1.56301383881963e-18,0,0,0,0,0,0,0.409500077856009,3.6456046244851e-18,0.569977724143517
0.08,-1.1083570487595e-21,5.3340482510132e-07,2.48150253720715e-05,-7.38153748894538e-20,0.000920607737265777,1.99776497141151e-21,-4.07082337242056e-20,1.95911311378822e-05,0.000911417357654724,-2.71112412448937e-18,0.033812492985786,7.33748059556005e-20,-9.75301432975758e-19,0.000469370850178427,0.0218360408604778,-6.49540154825579e-17,0.810090977784457,1.75793805935293e-18,0,0,0,0,0,0,0.409500106649607,3.64670077224644e-18,0.569957378508846
0.09,-1.56595914947282e-21,7.53629137086497e-07,3.50602868175807e-05,-1.0429117747686e-19,0.00130069467312931,2.82257268899003e-21,-5.09860750977886e-20,2.45374164404668e-05,0.00114152812813346,-3.39561719005383e-18,0.042349327123757,9.19001642783979e-20,-1.07963533075015e-18,0.000519582291118668,0.0241719743246411,-7.19025396846768e-17,0.896751313149944,1.94599533434188e-18,0,0,0,0,0,0,0.40950013510587,3.64809247089577e-18,0.569931524283566
